site_type,distance_angstrom
FCC,0.797119
FCC,0.76585
FCC,0.824508
FCC,0.864472
FCC,0.48468
FCC,0.646898
FCC,1.105858
FCC,0.435077
FCC,0.647236
FCC,0.773687
FCC,1.141223
FCC,1.299558
FCC,0.697148
FCC,0.820168
FCC,0.715901
FCC,0.711436
FCC,0.842615
FCC,0.360561
FCC,0.354342
FCC,1.56102
FCC,0.754709
FCC,0.513238
FCC,0.713909
FCC,0.859232
FCC,0.567702
FCC,1.569462
FCC,0.895467
FCC,0.488865
FCC,0.419561
FCC,0.578562
FCC,0.581207
FCC,0.571741
FCC,0.871595
FCC,1.244769
FCC,0.544711
FCC,0.530347
FCC,0.807165
FCC,0.362613
FCC,2.108614
FCC,0.643978
FCC,1.816713
FCC,0.840737
FCC,1.339068
FCC,0.53554
FCC,0.728941
FCC,1.90976
FCC,1.511711
FCC,0.963951
FCC,0.504652
FCC,0.956917
FCC,0.589728
FCC,1.125135
FCC,1.511778
FCC,0.763351
FCC,0.828393
FCC,0.631006
FCC,1.043871
FCC,0.655769
FCC,1.080318
FCC,1.220084
FCC,2.209976
FCC,0.538062
FCC,0.655486
FCC,0.52696
FCC,0.430146
FCC,1.826068
FCC,0.621978
FCC,0.855167
FCC,0.638696
FCC,0.769889
FCC,2.132328
FCC,0.603297
FCC,0.945669
FCC,0.782936
FCC,0.743862
FCC,0.281338
FCC,0.574882
FCC,0.390952
FCC,1.038178
FCC,0.586718
FCC,0.897999
FCC,1.119417
FCC,0.975831
FCC,0.68705
FCC,0.546113
FCC,1.929947
FCC,0.752008
FCC,0.331956
FCC,0.63476
FCC,0.596496
FCC,1.3476
FCC,1.032499
FCC,0.620295
FCC,2.087032
FCC,0.574073
FCC,0.601471
FCC,0.877806
FCC,0.574857
FCC,0.666969
FCC,1.225806
FCC,1.089695
FCC,0.995862
FCC,0.841679
FCC,1.517219
FCC,0.927965
FCC,0.961078
FCC,0.815167
FCC,0.907357
FCC,0.883883
FCC,1.135405
FCC,0.446468
FCC,0.613984
FCC,0.537619
FCC,0.870799
FCC,0.466566
FCC,0.870351
FCC,0.71229
FCC,0.979499
FCC,0.650792
FCC,0.744369
FCC,0.757765
FCC,0.669979
FCC,1.154949
FCC,0.626975
FCC,1.464378
FCC,1.413061
FCC,1.558543
FCC,0.280829
FCC,0.754813
FCC,1.403224
FCC,0.608978
FCC,1.385821
FCC,0.479169
FCC,0.431621
FCC,0.587788
FCC,0.921322
FCC,2.060808
FCC,0.751336
FCC,1.704772
FCC,0.856791
FCC,0.450388
FCC,1.031381
FCC,0.964433
FCC,0.745446
FCC,1.134143
FCC,1.206532
FCC,0.359703
FCC,0.581475
FCC,1.048184
FCC,0.887602
FCC,0.385963
FCC,0.628685
FCC,0.600695
FCC,1.627048
FCC,1.108026
FCC,1.137814
FCC,0.913146
FCC,1.589167
FCC,0.244143
FCC,0.888394
FCC,0.742931
FCC,2.010897
FCC,1.067546
FCC,0.703096
FCC,1.078411
FCC,0.720652
FCC,0.979322
FCC,0.90848
FCC,0.835506
FCC,1.135419
FCC,1.240756
FCC,0.724529
FCC,0.624559
FCC,0.802749
FCC,1.447331
FCC,0.844654
FCC,0.337145
FCC,0.698139
FCC,0.719415
FCC,0.85873
FCC,0.224699
FCC,1.352734
FCC,0.577711
FCC,1.242338
FCC,1.171712
FCC,1.008701
FCC,0.807074
FCC,1.923499
FCC,0.715141
FCC,0.775272
FCC,1.242291
FCC,1.500354
FCC,0.791038
FCC,0.6242
FCC,0.732165
FCC,1.745436
FCC,0.616843
FCC,0.717802
FCC,0.687892
FCC,1.652446
FCC,1.430971
FCC,1.59214
FCC,1.477522
FCC,1.337605
FCC,1.459622
FCC,1.759242
FCC,0.907941
FCC,1.86908
FCC,1.659598
FCC,1.872677
FCC,0.811971
FCC,0.883051
FCC,1.409681
FCC,0.719069
FCC,1.199658
FCC,0.73531
FCC,1.22117
FCC,1.470608
FCC,0.560318
FCC,0.974293
FCC,0.648671
FCC,0.781397
FCC,2.091604
FCC,0.765851
FCC,0.207643
FCC,1.145627
FCC,0.528118
FCC,1.824663
FCC,1.036107
FCC,1.44755
FCC,1.684383
FCC,1.937915
FCC,0.638218
FCC,1.493554
FCC,0.713137
FCC,0.500059
FCC,1.525274
FCC,1.300382
FCC,1.444336
FCC,1.76969
FCC,1.637913
FCC,0.677983
FCC,1.365054
FCC,0.741519
FCC,0.96011
FCC,1.008005
FCC,1.600289
FCC,1.698641
FCC,1.444817
FCC,1.005743
FCC,0.736222
FCC,1.472449
FCC,0.58944
FCC,1.62429
FCC,1.110005
FCC,0.54633
FCC,0.962287
FCC,0.887982
FCC,1.632067
FCC,0.109577
FCC,0.568542
FCC,0.631743
FCC,1.551395
FCC,0.604435
FCC,1.409674
FCC,1.345053
FCC,1.019626
FCC,1.357281
FCC,1.616499
FCC,1.560672
FCC,0.440869
FCC,0.702184
FCC,0.372489
FCC,0.71121
FCC,1.192577
FCC,1.21569
FCC,1.229212
FCC,1.544534
FCC,1.351561
FCC,0.482316
FCC,1.764112
FCC,1.262791
FCC,1.023553
FCC,1.296631
FCC,0.832219
FCC,1.909829
FCC,0.189106
FCC,1.770146
FCC,1.022857
FCC,1.552285
FCC,1.152821
FCC,1.601636
FCC,1.005651
FCC,1.294559
FCC,1.635791
FCC,1.448307
FCC,1.509195
FCC,0.928242
FCC,0.980505
FCC,0.675788
FCC,0.739804
FCC,0.887485
FCC,0.877283
FCC,0.758574
FCC,1.384193
FCC,0.547938
FCC,0.728928
FCC,1.38055
FCC,1.356861
FCC,0.602523
FCC,0.53547
FCC,0.791596
FCC,0.601225
FCC,1.309408
FCC,0.692323
FCC,0.812232
FCC,0.961936
FCC,0.523496
