zone,site_type,count,mean,std,min,max,median,ratio
Zone 0-25 Å,FCC,10664,1.0677485169729932,0.4545959423118496,0.041488,2.344962,1.006506,1
Zone 0-25 Å,4-coord,1596,0.5545130407268171,0.14812843976917073,0.100358,0.754876,0.5866169999999999,0.223
Zone 0-25 Å,6-coord,1714,0.5517614638273045,0.1425620376650835,0.02034,0.754921,0.579017,0.24
Zone 25-35 Å,FCC,10463,0.624381701997515,0.2109335373965358,0.039285,2.303608,0.616037,1
Zone 25-35 Å,4-coord,2199,0.5529543592542064,0.1268418535589145,0.099079,0.754976,0.568766,0.308
Zone 25-35 Å,6-coord,3407,0.5429373008511886,0.13640471861037867,0.076888,0.754913,0.56255,0.477
Zone 35-45 Å,FCC,14494,0.5147785760314613,0.15058240360283126,0.019126,2.209545,0.516141,1
Zone 35-45 Å,4-coord,4549,0.49292325280281385,0.11900797767817627,0.123383,0.754691,0.494164,0.49
Zone 35-45 Å,6-coord,4156,0.5099761390760347,0.14146969068796608,0.039094,0.754948,0.5238825,0.448
Zone 45-60 Å,FCC,28271,0.425070589968519,0.13698243377158575,0.010797,0.966073,0.425824,1
Zone 45-60 Å,4-coord,9237,0.4091019539893905,0.11656312174427534,0.066602,0.754058,0.403755,0.488
Zone 45-60 Å,6-coord,9596,0.42295747175906623,0.1477859340134907,0.032983,0.754299,0.4287175,0.507
